scientific_name,common_name,city,state,count,mean_h
Acer macrophyllum,Bigleaf maple,Portland,Oregon,2609,
Fraxinus,Ash,New York,New York,2609,
Ficus,Ficus,San Diego,California,2608,
Fraxinus velutina,Velvet ash,Las Vegas,Nevada,2607,
Fraxinus oxycarpa,Raywood ash,Stockton,California,2606,
Eucalyptus rudis,Desert gum,Los Angeles,California,2599,
Quercus rubra,Red oak,Plano,Texas,2598,
Populus deltoides,Eastern cottonwood,Denver,Colorado,2593,
Acacia melanoxylon,Black acacia,Los Angeles,California,2581,
Eucalyptus camaldulensis,Red gum,Huntington Beach,California,2574,9.432
Tilia cordata,Littleleaf linden,Washington DC,District of Columbia,2572,
Cinnamomum camphora,Camphor tree,Anaheim,California,2567,
Acer saccharinum,Silver maple,Grand Rapids,Michigan,2554,
Acer campestre,Hedge maple,New York,New York,2550,
Pyrus calleryana,Callery pear,Seattle,Washington,2540,
Quercus lobata,Valley oak,Stockton,California,2523,
Eucalyptus,Gum,Irvine,California,2503,
Fraxinus pennsylvanica,Green ash,Rochester,New York,2499,
Acer rubrum,Red maple,Buffalo,New York,2497,
Ailanthus altissima,Tree of heaven,Denver,Colorado,2465,
Liquidambar styraciflua,American sweetgum,Baltimore,Maryland,2465,78.575
Celtis occidentalis,Hackberry,Aurora,Colorado,2463,
Eucalyptus,Eucalyptus species,Los Angeles,California,2452,
Quercus shumardii,Shumard oak,Houston,Texas,2452,
Schinus molle,California pepper tree,San Diego,California,2443,
Yucca gloriosa,Spanish dagger,Los Angeles,California,2441,
Quercus palustris,Pin oak,Baltimore,Maryland,2426,110.678
Cercis canadensis,Eastern redbud,Baltimore,Maryland,2420,34.637
Tilia cordata,Littleleaf linden,Pittsburgh,Pennsylvania,2413,101.551
Celtis occidentalis,Common hackberry,New York,New York,2382,
Pyrus calleryana,Bradford pear,Houston,Texas,2379,
Acer campestre,Hedge maple,Buffalo,New York,2370,
Prunus serrulata,Double chinese cherry,Seattle,Washington,2357,
Lagerstroemia indica,Crape myrtle,Garden Grove,California,2355,79.562
Juglans,Walnut,Portland,Oregon,2351,
Quercus rubra,Red oak,Seattle,Washington,2339,
Ulmus,Hybrid elm,Baltimore,Maryland,2336,67.429
Fraxinus americana,White ash,Baltimore,Maryland,2335,128.449
Ulmus parvifolia,Chinese elm,San Francisco,California,2326,
Tilia cordata,Littleleaf linden,Seattle,Washington,2326,
Pinus canariensis,Canary island pine,Anaheim,California,2317,
Pinus thunbergiana,Japanese black pine,Los Angeles,California,2291,
Robinia pseudoacacia,Black locust,Los Angeles,California,2290,
Rhus lancea,African sumac,Rancho Cucamonga,California,2277,
Fraxinus velutina,Modesto ash,Sacramento,California,2275,
Cinnamomum camphora,Camphor tree,San Diego,California,2267,
Platanus acerifolia,London planetree,St. Louis,Missouri,2248,
Quercus acutissima,Sawtooth oak,New York,New York,2244,
Quercus ilex,Holly oak,Los Angeles,California,2240,
Acer griseum,Paperbark maple,Seattle,Washington,2238,
Acer freemanii,Freeman maple,Madison,Wisconsin,2236,
Parrotia persica,Persian ironwood,Portland,Oregon,2235,
Pinus canariensis,Pine,Rancho Cucamonga,California,2234,
Prunus cerasifera,Leaf plum purple,Los Angeles,California,2227,
Koelreuteria bipinnata,Chinese flame tree,Anaheim,California,2227,
Eriobotrya deflexa,Bronze loquat,San Francisco,California,2223,
Gleditsia triacanthos,Honeylocust,Sioux Falls,South Dakota,2222,127.383
Washingtonia robusta,Palm,Rancho Cucamonga,California,2215,
Pyrus kawakamii,Evergreen pear,San Diego,California,2210,
Lagerstroemia indica,Crape myrtle,San Diego,California,2207,
Acer freemanii,Freeman maple,Baltimore,Maryland,2205,83.567
Ligustrum lucidum,Glossy privet,San Francisco,California,2202,
Prunus,Cherry,Washington DC,District of Columbia,2202,
Prunus cerasifera,Purple leaf plum,San Diego,California,2200,
Betula pendula,(european) white birch,Seattle,Washington,2197,
Maackia amurensis,Amur maackia,New York,New York,2197,
